,sentence1,sentence2,predicted_score,score
27,['People wearing costumes are gathering in a forest and are looking in the same direction'],['Masked people are looking in the same direction in a forest'],0.7704790234565735,4.4
28,['People wearing costumes are gathering in a forest and are looking in the same direction'],['People wearing costumes are scattering in a forest and are looking in different directions'],0.9106409549713135,3.2
29,['People are looking at some costumes gathered in the vicinity of the forest'],['People wearing costumes are gathering in a forest and are looking in the same direction'],0.8933197855949402,3.635
30,['A little girl is looking at a woman in costume'],['People wearing costumes are scattering in a forest and are looking in different directions'],0.33493173122406006,2.4
31,['A little girl is looking at a woman in costume'],['People are looking at some costumes gathered in the vicinity of the forest'],0.38384416699409485,2.6
32,['A young girl is looking at a woman in costume'],['People wearing costumes are gathering in a forest and are looking in the same direction'],0.3529316186904907,2.2
33,['People wearing costumes are gathering in a forest and are looking in the same direction'],['The little girl is looking at a man in costume'],0.2850979268550873,3.0
34,['People wearing costumes are gathering in a forest and are looking in the same direction'],['A little girl in costume looks like a woman'],0.30585578083992004,2.0
35,['A lone biker is jumping in the air'],"['A biker is jumping in the air, alone']",0.9139148592948914,5.0
36,['There is no biker jumping in the air'],['A lone biker is jumping in the air'],0.6897852420806885,4.2
37,['A man is jumping into an empty pool'],['A man is jumping into a full pool'],0.7975021004676819,3.0
38,['A man is jumping into an empty pool'],"[""The man's jumper is in the empty pool""]",0.8575751185417175,3.1
39,['A lone biker is jumping in the air'],['A man is jumping into a full pool'],0.23816896975040436,1.7
40,"[""The man's jumper is in the empty pool""]",['A lone biker is jumping in the air'],0.26465892791748047,1.4
41,['A lone biker is jumping in the air'],['A man is jumping into an empty pool'],0.31403887271881104,1.5
42,['Four kids are doing backbends in the park'],['Four children are doing backbends in the park'],0.9809651374816895,4.8
43,['Four children are doing backbends in the gym'],['Four children are doing backbends in the park'],0.7718406319618225,3.8
44,['Four girls are doing backbends and playing in the garden'],['Four girls are doing backbends and playing outdoors'],0.9012731909751892,4.1
45,['A man who is playing is running with the ball in his hands'],['A player is running with the ball'],0.8106577396392822,4.3
46,['Two groups of people are playing football'],['A player is running with the ball'],0.385294646024704,2.1
47,['Two teams are competing in a baseball game'],['A player is running with the ball'],0.2542088031768799,3.0
48,['A player is running with the ball'],['Two teams are competing in a football match'],0.2688656747341156,2.6
49,"[""Five wooden stands are in front of each child's hut""]",['Five children are standing in front of a wooden hut'],0.8953041434288025,3.2
50,['Five kids are standing close together and one kid has a gun'],['Five kids are standing close together and none of the kids has a gun'],0.8252519965171814,3.7
51,['Five kids are standing close together and none of the kids has a gun'],['Five children are standing in front of a wooden hut'],0.45928657054901123,2.6
52,['Five children are standing in a wooden hut'],['Five kids are standing close together and one kid has a gun'],0.5104561448097229,2.7
53,"[""Five wooden stands are in front of each child's hut""]",['Five kids are standing close together and one kid has a gun'],0.508025050163269,2.3
54,['An old man is sitting in a field'],['A man is sitting in a field'],0.8256118893623352,4.4
55,['A man is sitting in a field'],['A man is running in a field'],0.6341943144798279,2.6
56,['A person is wearing a hat and is sitting on the grass'],['A person is sitting in a field and is wearing a hat'],0.7890475988388062,4.1
57,['A person is sitting and wearing a grass hat'],['A person is wearing a hat and is sitting on the grass'],0.9771014451980591,3.4
58,['A person is sitting and wearing a grass hat'],['A man is sitting in a field'],0.4944232702255249,3.3
59,['A man is sitting in a field'],['A person is wearing a hat and is sitting on the grass'],0.525826632976532,3.8
60,['The current is being ridden by a group of friends in a raft'],['A group of friends are riding the current in a raft'],0.9583695530891418,4.9
61,['A group of friends are riding the current in a raft'],['A group is not riding the current in a raft'],0.7412035465240479,3.7
62,['The current is being ridden by a group of friends in a raft'],['This group of people is practicing water safety and wearing preservers'],0.38823118805885315,3.2
63,['A group of friends are riding the current in a raft'],['This group of people is practicing water safety and wearing preservers'],0.37326812744140625,3.1
64,['A deer is jumping over a fence'],"[""A deer isn't jumping over the fence""]",0.8386991024017334,3.9
65,['People are walking inside a building that has many murals on it'],['People are walking outside a building that has many murals on it'],0.8812894821166992,3.4
66,['Several people are in front of a colorful building'],['Nobody is in front of the colorful building'],0.44568780064582825,3.5
67,['People are walking outside a building that has many murals on it'],['Nobody is in front of the colorful building'],0.2564489245414734,3.6
68,['People are walking outside the building that has several murals on it'],['Several people are in front of a colorful building'],0.5431594252586365,3.6
69,['A family is watching a little boy who is hitting a baseball'],['A family is watching a little boy who is missing a baseball'],0.8515896797180176,3.9
70,['A child is hitting a baseball'],['A family is watching a little boy who is missing a baseball'],0.4533202350139618,3.015
71,['A child is missing a baseball'],['A family is watching a little boy who is hitting a baseball'],0.4628094434738159,2.7
72,['A purple crowd of people is eating on various red lit restaurant tables'],['Various people are eating at red tables in a crowded restaurant with purple lights'],0.8997039198875427,3.3
73,['A large group of Asian people is eating at a restaurant'],['Various customers are eating in a crowded restaurant with purple lights'],0.53122878074646,2.9
74,['A purple crowd of people is eating on various red lit restaurant tables'],['A large group of Asian people is eating at a restaurant'],0.5256208181381226,3.1
75,['Various people are eating at red tables in a crowded restaurant with purple lights'],['A small group of people is waiting to eat in a restaurant'],0.48453614115715027,3.2
76,['A motorcycle rider is standing up on the seat of a white motorcycle'],['No motorcycle rider is standing up on the seat of a motorcycle'],0.6579424738883972,3.8
77,['Nobody is on a motorcycle and is standing on the seat'],['Someone is on a black and white motorcycle and is standing on the seat'],0.5717783570289612,3.7
78,['A motorcyclist is riding a motorbike dangerously along a roadway'],['A motorcyclist is riding a motorbike along a roadway'],0.8594871759414673,4.6
79,['There is no motorcyclist riding a motorbike along a roadway'],['A motorcyclist is riding a motorbike along a roadway'],0.7100926637649536,3.7
80,['A man with a helmet painted red is riding a blue motorcycle down the road'],['A motorcyclist with a red helmet is riding a blue motorcycle down the road'],0.8996147513389587,4.8
81,['A motorcyclist without a helmet is waiting on a blue motorcycle near the road'],['A motorcyclist is riding a motorbike along a roadway'],0.5714493989944458,3.3
82,['Two dogs are playing by a tree'],['A dog is catching a stick in the air and another is watching'],0.39141109585762024,3.7
83,['Two dogs are playing by a tree'],['There is no dog leaping in the air'],0.3141290247440338,2.7
84,['Two dogs are playing by a tree'],['A dog is leaping high in the air and another is watching'],0.37505781650543213,3.0
85,['A girl in white is dancing'],['The dancer is dancing in front of the sound equipment'],0.4931696653366089,4.0
86,['A girl in white is dancing'],['The blond girl is dancing behind the sound equipment'],0.5764586329460144,3.3
87,['A girl is wearing white clothes and is dancing'],['The blond girl is dancing in front of the sound equipment'],0.5877662897109985,3.5
88,['The blond girl is dancing in front of the sound equipment'],['There is no girl in white dancing'],0.35604962706565857,3.3
89,['Three Asian kids are dancing and a man is looking'],['Three Asian kids are dancing and there is no man looking'],0.8071016669273376,3.9
90,['Three Asian kids are dancing and a man is looking'],['An Asian man is dancing and three kids are looking'],0.963477611541748,3.7
91,['The children of a family are playing and waiting'],['Three Asian kids are dancing and a serious man is looking'],0.31235358119010925,1.9
92,['The children of a family are patiently playing and waiting'],['Three Asian kids are dancing and a man is looking'],0.2972855269908905,2.3
93,['There are no children playing and waiting'],['Three Asian kids are dancing and a man is looking'],0.1747300773859024,1.6
94,['A woman is wearing an Egyptian hat on her head'],['A woman is wearing an Egyptian headdress'],0.8516619801521301,4.3
95,['A woman is wearing an Egyptian headdress'],['A woman is wearing an Indian headdress'],0.7025845050811768,4.0
96,['The black woman is wearing glasses over the headdress'],['A woman is wearing an Egyptian headdress'],0.5376225709915161,3.6
97,['A woman is wearing an Egyptian hat on her head'],['The woman is wearing glasses and a black headdress'],0.4457668364048004,2.5
98,['A hiker is on top of the mountain and is dancing'],['There is no hiker dancing on top of the mountain'],0.6673434972763062,3.2
99,['There is no man on a rock high above some trees standing in a strange position'],['A man is on a rock high above some trees and is standing in a strange position'],0.8184859752655029,4.3
100,['A hiker is on top of the mountain and is dancing'],['A man is on a rock high above some trees and is standing in an uncomfortable position'],0.34193310141563416,2.5
101,['A hiker is on top of the mountain and is dancing'],['There is no man on a rock high above some trees standing in a strange position'],0.27078983187675476,2.5
102,['A man is on a rock high above some trees and is standing in a strange position'],['A hiker is on top of the mountain and is doing a joyful dance'],0.3477601408958435,2.9
103,['There is no hiker dancing on top of the mountain'],['A man is on a rock high above some trees and is standing in a strange position'],0.22088289260864258,2.4
104,['The brown horse is very near a red barrel at the rodeo'],['The brown horse is near a red barrel at the rodeo'],0.9938757419586182,4.8
105,['The brown horse is near a red barrel at the rodeo'],['The brown horse is far from a red barrel at the rodeo'],0.8958665132522583,3.6
106,['A cowgirl is riding a brown horse and is cornering a barrel'],['The brown horse is near a red barrel at the rodeo'],0.6551655530929565,3.2
107,['A cowgirl is riding a horse and corners a barrel'],['The brown horse is near a red barrel at the rodeo'],0.5544754266738892,3.8
108,['A boy is standing in the cold water'],['A boy is standing in the water'],0.8293195962905884,4.1
109,['The boy is sitting near the blue ocean'],['The boy is wading through the blue ocean'],0.7012156844139099,3.2
110,['A boy is standing in the water'],['The kid is swimming through the blue ocean'],0.3633185625076294,3.0
111,['The boy is wading through the blue ocean'],['A boy is standing in the cold water'],0.44276365637779236,3.3
112,['A man is playing a guitar on stage'],['There is no man playing a guitar on stage'],0.6742346882820129,3.6
113,['A man is playing a guitar on stage'],['A guitarist has blonde and flyaway hair'],0.38701480627059937,3.0
114,['A man is playing a guitar on stage'],['A bald person is playing a guitar'],0.48087236285209656,3.8
115,['There is no man playing a guitar on stage'],['A person has blonde and flyaway hair and is playing a guitar'],0.37619200348854065,3.4
116,['Several children are sitting down and have their knees raised'],['Several children are lying down and are raising their knees'],0.8560129404067993,4.0
117,['Two young girls are sitting on the ground'],['Two girls are sitting on the ground'],0.9390332102775574,4.4
118,['Two girls are lying on the ground'],['Several children are sitting down and have their knees raised'],0.26980581879615784,2.8
119,['A nude lady is walking in front of a crowd in body paint'],['There is no lady walking in body paint in front of a crowd '],0.7034916281700134,2.9
120,['A nude lady is walking in front of a crowd in body paint'],['A nude crowd in body paint is walking in front of a lady '],0.953438401222229,3.1
121,"['A young, topless woman is covered in paint']",['A topless girl is covered in paint'],0.8537886738777161,4.4
122,['A nude lady is walking in front of a crowd in body paint'],['A topless girl is covered in paint'],0.4668881893157959,3.8
123,['A nude crowd in body paint is walking in front of a lady '],"['A young, topless woman is covered in paint']",0.4437548816204071,3.0
124,['A nude lady is walking in front of a crowd in body paint'],"['A young, topless woman is covered in paint']",0.5026049017906189,4.2
125,['A group of people is near the ocean'],['A crowd of people is near the water'],0.7699793577194214,4.3
126,['A crowd of people is near the water'],['A crowd of people is far from the water'],0.8572027683258057,3.8
127,['A group of children in uniforms is standing at a gate and one is kissing the mother'],['A group of children wearing the same clothes is waiting at a gate and one is kissing the mother'],0.8775427937507629,4.5
128,['A group of mothers in uniforms is standing near the children and one is kissing the gate'],['A group of children in uniforms is standing at a gate and one is kissing the mother'],0.9314700961112976,3.3
129,['A man is in a parking lot and is playing tennis against a large wall'],['A man is in a parking lot and is playing tennis against a friend'],0.8374897837638855,3.9
130,['A man is in a parking lot and is playing tennis against a large wall'],['There is no man pointing at a car'],0.04724954068660736,1.5
131,['A man is in a parking lot and is playing tennis against a friend'],['A man is pointing at a silver sedan'],0.10646932572126389,1.3
132,['A group of people is on a beach'],['A group of people is near the sea'],0.7569078803062439,4.0
133,['A group of people is on a beach'],['A group of people is on a mountain'],0.45146799087524414,2.6
134,"['A man, a woman and two girls are walking on the beach']",['Four people are walking on the beach'],0.8136261105537415,4.5
135,['A group of people is on a beach'],['Four people are walking on the beach'],0.6879649758338928,4.6
136,"['A man, a woman and two girls are walking on the beach']",['A group of people is on a mountain'],0.3083975315093994,1.4
137,"['A man, a woman and two girls are walking on the beach']",['A group of people is on a beach'],0.6755128502845764,4.3
138,['A schoolgirl with a black bag is on a crowded train'],['A girl with a black bag is on a crowded train'],0.9222919940948486,4.7
139,['There is no girl with a black bag on a crowded train'],['A girl with a black bag is on a crowded train'],0.7072624564170837,3.7
140,['A girl with a black bag is on a crowded train'],['A cramped black train is on the bag of a girl'],0.8452218174934387,2.7
141,['An Asian woman in a crowd is not carrying a black bag'],['An Asian woman in a crowd is carrying a black bag'],0.8122388124465942,3.8
142,['A girl with a black bag is on a crowded train'],['An Asian woman in a crowd is not carrying a black bag'],0.36942753195762634,2.5
143,['A schoolgirl with a black bag is on a crowded train'],['An Asian woman in a crowd is carrying a black bag'],0.42751944065093994,2.8
144,['A dog is chasing another and is holding a stick in its mouth'],['A dog is chasing another and is holding a piece of wood in its mouth'],0.8018143773078918,4.6
145,['Two dogs are running and carrying a toy in their mouths'],['Two dogs are running and carrying an object in their mouths'],0.9168601036071777,4.3
146,['A dog is chasing another and is holding a piece of wood in its mouth'],['Two dogs are running and carrying an object in their mouths'],0.6006038188934326,3.9
147,['Two dogs are running and carrying an object in their mouths'],['A dog is chasing a stick and holding another dog in its mouth'],0.6783442497253418,3.2
148,['A dog is chasing another and is holding a stick in its mouth'],['Two dogs are running and carrying an object in their mouths'],0.6195183396339417,4.0
149,['A dirty soccer ball is rolling into a goal net'],['A soccer ball is rolling into a goal net'],0.8520691394805908,4.5
150,['A soccer ball is not rolling into a goal net'],['A soccer ball is rolling into a goal net'],0.8567482233047485,3.4
151,['A person who plays soccer is kicking a ball into the goal'],['A soccer ball is rolling into a goal net'],0.6917740106582642,4.1
152,['A soccer ball is rolling into a goal net'],['A soccer player is kicking a ball out of the goal'],0.5975277423858643,3.2
153,['A soccer ball is rolling into a goal net'],['A soccer player is kicking a ball into the goal'],0.6936282515525818,4.3
154,['A man is sitting on a chair and rubbing his eyes'],['There is no man sitting on a chair and rubbing his eyes'],0.6380128264427185,3.8
155,['A man with tattoos is lounging on a couch and holding a pencil'],['A tattooed man is on a sofa and is holding a pencil'],0.8588575720787048,4.4
156,['A man with tattoos is lounging on a couch and holding a pencil'],['A man with tattoos is lounging on a couch and is looking for a pencil'],0.9180824160575867,2.9
157,['A man with tattoos is holding a couch with a pencil'],['A man with tattoos is lounging on a couch and holding a pencil'],0.8891637325286865,2.6
158,['A man is sitting on a chair and rubbing his eyes'],['A man with tattoos is lounging on a couch and is looking for a pencil'],0.31072741746902466,2.1
159,['A man with tattoos is holding a couch with a pencil'],['A man is sitting on a chair and rubbing his eyes'],0.26184985041618347,2.0
160,['A man is resting on a chair and rubbing his eyes'],['A man with tattoos is lounging on a couch and holding a pencil'],0.37799254059791565,2.5
161,['A man with tattoos is lounging on a couch and holding a pencil'],['There is no man sitting on a chair and rubbing his eyes'],0.237542062997818,1.6
162,['A man with tattoos is lounging on a couch and holding a pencil'],['A man is sitting on a chair and rubbing his eyes'],0.34781455993652344,2.4
163,['A brown and white dog is running through the tall grass'],['A black and tan dog is running through the low and green grass'],0.6593748927116394,3.8
164,['A white and tan dog is running through the tall and green grass'],['A brown and white dog is running through the tall grass'],0.8533348441123962,4.6
165,['A man with paint covered clothes is sitting outside in a busy area writing something'],['A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something'],0.9846625924110413,4.8
166,['There is no man wearing clothes that are covered with paint or is sitting outside in a busy area writing something'],['A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something'],0.6843351721763611,4.1
167,['A sitting man is busy writing something in an area covered by paint'],['A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something'],0.8765663504600525,3.7
168,['A man is sitting near a bike and is writing a note'],['There is no man writing a note near a bike'],0.6436111927032471,4.2
169,['A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something'],['A man is standing near a bike and is writing on a piece paper'],0.4988939166069031,2.6
170,['There is no man writing a note near a bike'],['A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something'],0.2896159291267395,2.7
171,['A man is sitting near a bike and is writing a note'],['A man with paint covered clothes is sitting outside in a busy area writing something'],0.5211304426193237,3.1
172,['A group of scouts are camping in the grass'],['A group of scouts are hiking through the grass'],0.8261189460754395,3.5
173,['Some people are walking'],['People are walking'],0.9854820370674133,4.7
174,['Some people are walking'],['A group of scouts are camping in the grass'],0.16020360589027405,1.5
175,['A group of scouts are hiking through the grass'],['Some people are walking'],0.3475155234336853,3.2
176,['Two men are taking a break from a trip on a snowy road'],['Two men are breaking into a car during a trip on a snowy road'],0.7362036108970642,3.0
177,['Two men with bikes are on the side of a snowy road'],['Two men with cars are on the side of a snowy road'],0.815049409866333,3.5
178,['Two men are holding fishing poles and fishing tackle'],['Two men are holding fishing poles'],0.9548185467720032,4.3
179,['Two men are not holding fishing poles'],['Two men are holding fishing poles'],0.7642108201980591,3.2
180,['Two men are holding fishing poles'],['Two men are standing near the water and are holding tools used for fishing'],0.7535029649734497,4.3
181,['There is no man standing near the water and holding fishing poles'],['Two men are holding fishing poles'],0.5547269582748413,3.2
182,['The helmeted girl is riding a bike'],['The helmeted girl is perching on a bike'],0.8971030116081238,4.2
183,['A woman is performing a trick on a ramp with a bicycle'],['A woman is jumping with a bicycle'],0.661303699016571,4.3
184,['A woman is performing a trick on a ramp with a bicycle'],['A woman is performing a trick on a ramp with a car'],0.7616172432899475,2.4
185,['The helmeted girl is perching on a bike'],['A woman is performing a trick on a ramp with a car'],0.1317911148071289,1.9
186,['The girl with a helmet is perching on a bike'],['A woman is performing a trick on a ramp with a bicycle'],0.32086968421936035,2.9
187,['The helmeted girl is riding a bike'],['A woman is performing a trick on a ramp with a bicycle'],0.31372466683387756,3.7
188,['A woman is performing a trick on a ramp with a bicycle'],['The helmeted girl is perching on a bike'],0.32606810331344604,3.3
189,['A blonds girl is surfing'],['A blond girl is riding the waves'],0.8374022245407104,4.7
190,['A lady is surfing and riding a wave'],['A boy is surfing and riding a wave'],0.5302164554595947,3.5
191,['A woman is surfing'],['A blond girl is riding the waves'],0.3972110152244568,4.0
192,['A lady is surfing and riding a wave'],['A blonds girl is surfing'],0.5198801159858704,3.6
193,['A blond girl waves while she is riding'],['A lady is surfing and riding a wave'],0.4500350058078766,2.3
194,['Two children and an adult are standing next to a tree limb'],['Two children and an adult are not standing next to a tree limb'],0.8867709040641785,3.6
195,['Two children and an adult are standing next to a tree limb'],['Two children are climbing a tree'],0.40363070368766785,3.0
196,['Two children and an adult are standing next to a tree limb'],['Two children are hanging on a large branch'],0.4383704662322998,2.7
197,['A man dressed in black is riding a bike'],['A man is performing a trick on a bike'],0.5669071078300476,3.5
198,['A man is performing stunts on a green bicycle'],['A man is performing a trick on a green bicycle'],0.932312548160553,4.7
199,['There is no man dressed in black and riding a green bike'],['A man is performing a trick on a green bicycle'],0.4417777955532074,3.4
200,['A boy is holding a squirt gun'],['A child is holding a squirt gun'],0.895939826965332,4.5
201,['A laughing child is holding a water gun and getting sprayed with water'],['A child with a gun that sprays water is laughing and getting hit by other boys'],0.84160977602005,4.0
202,['There is no child holding a water gun or getting sprayed with water'],['A laughing child is holding a water gun and getting sprayed with water'],0.5731443762779236,4.0
203,['A child with a gun that sprays water is laughing and getting hit by other boys'],['A child is holding a squirt gun'],0.5542863011360168,3.9
204,['Two daschunds are playing with a red ball'],['Two dogs are playing with a small red ball'],0.6947168707847595,4.2
205,['Two cats are playing with a red ball'],['Two daschunds are playing with a red ball'],0.6451895833015442,3.3
206,['Two brown dogs are fighting over a red ball and are playing in the grass'],['Two dogs are playing with a small red ball'],0.6621690392494202,3.8
207,['There is no dog playing with a red ball'],['Two daschunds are playing with a red ball'],0.45716407895088196,3.0
208,['The black and white dog is running and a person stands behind it'],"['The dog, which is black and white, is running and a person stands behind it']",0.9622406959533691,4.9
209,['A little dog is sprinting and the person who owns it is trying to catch it'],['A little dog is sprinting and its owner is trying to catch it'],0.936253547668457,4.8
210,['The black and white dog is running and a person stands behind it'],['A little dog is sprinting and the person who owns it is trying to catch it'],0.593963623046875,3.0
211,['The black and white dog is running and a person stands behind it'],['A little dog is slowing down and the owner is quitting chasing it'],0.5360151529312134,2.9
212,"[""The black and white dog isn't running and there is no person standing behind""]",['A little dog is sprinting and its owner is trying to catch it'],0.45094814896583557,2.7
213,['A black person is running along a white stand and a dog barks behind him'],['A little dog is sprinting and its owner is trying to catch it'],0.4443010091781616,2.5
214,['A man wearing a dyed black shirt is sitting at the table and laughing'],['A black shirt is being worn by a man who is sitting at the table and laughing'],0.8649036884307861,4.7
215,['A man wearing a dyed black shirt is sitting at the table and laughing'],"['There is no man wearing a shirt dyed black, sitting at the table and laughing']",0.6977497339248657,3.7
216,['A laughing man is dyeing a shirt black on the table which you cannot sit at '],['A man wearing a dyed black shirt is sitting at the table and laughing'],0.8190385103225708,3.6
217,['A black shirt is being worn by a man who is sitting at the table and laughing'],['A man is sitting comfortably at a table'],0.5101261734962463,3.5
218,['A man is sitting and tables a comfortable discussion'],['A man wearing a dyed black shirt is sitting at the table and laughing'],0.4345136880874634,2.4
219,['A man is sitting comfortably at a table'],['A man wearing a dyed black shirt is sitting at the table and laughing'],0.5318806767463684,3.9
220,['A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians'],['A woman who is wearing a pink scarf is riding a bike down a bridge built for pedestrians'],0.8506757616996765,4.3
221,['A woman who is taking off a pink boa is stopping her bicycle on a bridge built for pedestrians'],['A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians'],0.8329445123672485,3.7
222,['A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians'],"[""The woman wearing silver pants, pink bellbottoms and a pink scarf isn't riding a bike""]",0.407532274723053,2.6
223,['A woman who is wearing a pink scarf is riding a bike down a bridge built for pedestrians'],"['The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike']",0.5886121988296509,3.7
224,['A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians'],"['The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike']",0.47332021594047546,2.5
225,"['A person, who is riding a bike, is wearing gear which is black']",['A biker is wearing gear which is black'],0.8938122391700745,4.7
226,['A biker is naked'],['A biker is wearing gear which is black'],0.47403764724731445,3.315
227,['A black helmet is being worn by a man who is pushing a bicycle'],['One man is wearing a black helmet and pushing a bicycle'],0.9325315356254578,4.8
228,['A biker is wearing gear which is black'],['There is no man wearing a black helmet and pushing a bicycle'],0.43482208251953125,2.7
229,['One man is wearing a black helmet and pushing a bicycle'],['A biker is naked'],0.16923239827156067,2.6
230,['The man in a grey t-shirt is sitting on a rock in front of the waterfall'],['The man in a t-shirt dyed grey is sitting on a rock in front of a waterfall'],0.9543787240982056,4.9
231,['The man in a grey t-shirt is sitting on a rock in front of the waterfall'],['There is no man in a grey t-shirt sitting on a rock in front of the waterfall'],0.7181215286254883,3.5
232,"[""A woman is standing and isn't looking at the waterfall""]",['A woman is sitting and looking at the waterfall'],0.5690065622329712,3.1
233,"[""A woman is standing and isn't looking at the waterfall""]",['The man in a grey t-shirt is sitting on a rock in front of the waterfall'],0.28146257996559143,2.5
234,['The man in a t-shirt dyed grey is sitting on a rock in front of a waterfall'],['A woman is sitting and looking at the waterfall'],0.47989150881767273,3.1
235,['There is no man in a grey t-shirt sitting on a rock in front of the waterfall'],['A woman is sitting and looking at the waterfall'],0.3269076943397522,1.9
236,['A woman is sitting and looking at the waterfall'],['A rocker is sitting with a t-shirt that has a man over a grey waterfall on the front'],0.41915199160575867,2.5
237,"['A dog, which is brown, and a black one are running in the grass']",['There is no dog running in the grass'],0.4559526741504669,3.4
238,['A black man is running in brown grass and racing a dog'],"['A dog, which is brown, and a black one are running in the grass']",0.6837850213050842,2.5
239,['A dark black dog and a light brown dog are playing in the yard in the back'],['A dark black dog and a light brown dog are playing in the backyard'],0.913078248500824,4.9
240,['A dark black dog and a light brown dog are playing in the yard in the back'],"['A dog, which is brown, and a black one are running in the grass']",0.6678065657615662,4.0
241,['A dark black dog and a light brown dog are fighting in the backyard'],"['A dog, which is brown, and a black one are running in the grass']",0.5883521437644958,3.6
242,['There is no dog running in the grass'],['A dark black dog and a light brown dog are playing in the backyard'],0.34536781907081604,3.1
243,['A dark black dog and a light brown dog are playing in the backyard'],['A black man is running in brown grass and racing a dog'],0.3643174171447754,2.0
244,['A dog that has a brown and white coat is sitting in shallow water'],['A dog that has a brown and white coat is trotting through shallow water'],0.8192019462585449,4.1
245,['A white and brown dog is walking through the water with difficulty'],['A white and brown dog is pacing through the water with difficulty'],0.8716157078742981,4.5
246,['A group of boys are quiet in front of a large door made of wood'],['A group of boys are playing with a ball in front of a large door made of wood'],0.6805641651153564,3.5
247,"[""The children aren't playing in front of a large door""]",['A group of boys are playing with a ball in front of a large door made of wood'],0.5173367857933044,3.4
248,['A bunch of boys are playing with a ball in front of a large door made of wood'],['The children are playing in front of a large door'],0.6825039386749268,3.4
249,['The children are playing in front of a large door'],['A group of boys are quiet in front of a large door made of wood'],0.5531039237976074,3.4
250,"['A black, red, white and pink dress is being worn by a woman']","['A woman is taking off a cloak, which is very large, and revealing extravagant apparel']",0.46010372042655945,2.8
